18.00 -114.00 -62.00 | 41.00 -58.00 -69.00
31.00 -113.00 -41.00 | 52.00 -60.00 -49.00
29.00 -112.00 -45.00 | 51.00 -59.00 -50.00
27.00 -113.00 -46.00 | 50.00 -59.00 -51.00
26.00 -113.00 -48.00 | 48.00 -59.00 -54.00
25.00 -112.00 -49.00 | 48.00 -59.00 -56.00
23.00 -113.00 -51.00 | 46.00 -60.00 -57.00
23.00 -112.00 -53.00 | 44.00 -60.00 -60.00
18.00 -112.00 -55.00 | 42.00 -59.00 -62.00
17.00 -113.00 -56.00 | 42.00 -59.00 -65.00
15.00 -113.00 -57.00 | 40.00 -59.00 -66.00
11.00 -113.00 -56.00 | 35.00 -59.00 -68.00
12.00 -113.00 -57.00 | 35.00 -60.00 -69.00
10.00 -113.00 -54.00 | 34.00 -60.00 -68.00


13.00 -109.00 -69.00 | 14.00 -64.00 -67.00
20.00 -110.00 -63.00 | 21.00 -65.00 -61.00
25.00 -110.00 -60.00 | 26.00 -66.00 -57.00
23.00 -111.00 -61.00 | 24.00 -66.00 -58.00
20.00 -110.00 -62.00 | 20.00 -66.00 -59.00
20.00 -110.00 -63.00 | 18.00 -65.00 -61.00
14.00 -110.00 -67.00 | 14.00 -65.00 -63.00
6.00 -109.00 -71.00 | 6.00 -64.00 -67.00
2.00 -108.00 -74.00 | -4.00 -63.00 -72.00
-6.00 -107.00 -78.00 | -8.00 -62.00 -73.00
-6.00 -106.00 -79.00 | -9.00 -62.00 -74.00
-8.00 -106.00 -79.00 | -12.00 -61.00 -75.00
-10.00 -105.00 -80.00 | -12.00 -61.00 -74.00
-8.00 -104.00 -81.00 | -11.00 -60.00 -75.00
-16.00 -103.00 -83.00 | -17.00 -60.00 -76.00
-18.00 -103.00 -83.00 | -20.00 -59.00 -77.00
-20.00 -102.00 -84.00 | -21.00 -59.00 -76.00
-20.00 -102.00 -83.00 | -21.00 -59.00 -76.00
-25.00 -102.00 -83.00 | -29.00 -57.00 -77.00
-35.00 -101.00 -82.00 | -35.00 -56.00 -76.00
-40.00 -100.00 -81.00 | -40.00 -55.00 -76.00
-42.00 -100.00 -80.00 | -43.00 -53.00 -73.00
-47.00 -99.00 -78.00 | -45.00 -54.00 -72.00
-53.00 -99.00 -76.00 | -53.00 -52.00 -70.00
-58.00 -97.00 -74.00 | -58.00 -51.00 -67.00
-60.00 -97.00 -74.00 | -62.00 -48.00 -66.00
-65.00 -96.00 -71.00 | -64.00 -48.00 -64.00
-69.00 -95.00 -68.00 | -70.00 -46.00 -59.00
-72.00 -95.00 -64.00 | -73.00 -46.00 -55.00
-76.00 -94.00 -58.00 | -74.00 -46.00 -50.00
-78.00 -95.00 -55.00 | -79.00 -45.00 -44.00
-81.00 -95.00 -49.00 | -80.00 -43.00 -38.00
-82.00 -95.00 -45.00 | -80.00 -44.00 -36.00
-82.00 -94.00 -43.00 | -81.00 -43.00 -33.00
-84.00 -95.00 -40.00 | -82.00 -43.00 -31.00
-84.00 -95.00 -38.00 | -82.00 -44.00 -29.00
-84.00 -96.00 -37.00 | -82.00 -44.00 -27.00
-83.00 -96.00 -34.00 | -83.00 -43.00 -23.00
-86.00 -94.00 -31.00 | -83.00 -42.00 -21.00
-85.00 -96.00 -29.00 | -82.00 -44.00 -20.00
-85.00 -94.00 -29.00 | -84.00 -43.00 -17.00
-87.00 -94.00 -25.00 | -84.00 -42.00 -13.00
-88.00 -94.00 -22.00 | -84.00 -42.00 -12.00
-87.00 -93.00 -20.00 | -84.00 -42.00 -9.00
-87.00 -95.00 -18.00 | -83.00 -43.00 -8.00
-87.00 -94.00 -15.00 | -84.00 -42.00 -5.00
-87.00 -94.00 -14.00 | -83.00 -41.00 -3.00
-85.00 -95.00 -12.00 | -81.00 -42.00 0.00
-85.00 -95.00 -7.00 | -80.00 -42.00 3.00
-86.00 -94.00 -7.00 | -80.00 -42.00 5.00
-83.00 -96.00 -4.00 | -78.00 -43.00 6.00
-84.00 -95.00 0.00 | -79.00 -41.00 11.00
-83.00 -95.00 1.00 | -78.00 -41.00 13.00
-81.00 -95.00 5.00 | -76.00 -42.00 15.00
-80.00 -95.00 10.00 | -75.00 -41.00 21.00
-80.00 -95.00 11.00 | -75.00 -41.00 23.00
-77.00 -96.00 13.00 | -73.00 -41.00 24.00
-77.00 -95.00 16.00 | -71.00 -41.00 27.00
-76.00 -96.00 17.00 | -70.00 -40.00 30.00
-73.00 -96.00 21.00 | -66.00 -41.00 34.00
-71.00 -95.00 24.00 | -65.00 -40.00 36.00
-69.00 -95.00 27.00 | -63.00 -39.00 39.00
-69.00 -95.00 29.00 | -63.00 -39.00 41.00
-64.00 -97.00 29.00 | -59.00 -41.00 41.00
-62.00 -97.00 32.00 | -56.00 -41.00 45.00
-62.00 -95.00 35.00 | -55.00 -40.00 46.00
-58.00 -95.00 37.00 | -51.00 -39.00 50.00
-56.00 -96.00 39.00 | -46.00 -40.00 51.00
-50.00 -97.00 41.00 | -43.00 -40.00 53.00
-45.00 -97.00 43.00 | -38.00 -42.00 54.00
-45.00 -98.00 43.00 | -37.00 -42.00 54.00
-48.00 -94.00 46.00 | -39.00 -37.00 59.00
-42.00 -94.00 51.00 | -35.00 -38.00 61.00
-35.00 -95.00 51.00 | -26.00 -40.00 62.00
-34.00 -95.00 52.00 | -23.00 -40.00 63.00
-30.00 -96.00 52.00 | -22.00 -40.00 63.00
-32.00 -97.00 52.00 | -22.00 -40.00 62.00
-29.00 -96.00 52.00 | -16.00 -40.00 62.00
-21.00 -97.00 54.00 | -13.00 -40.00 63.00
-14.00 -97.00 53.00 | -7.00 -41.00 64.00
-12.00 -97.00 54.00 | 0.00 -44.00 62.00
-6.00 -100.00 50.00 | 3.00 -45.00 60.00
-1.00 -102.00 47.00 | 7.00 -46.00 57.00
0.00 -102.00 47.00 | 10.00 -47.00 56.00
5.00 -103.00 44.00 | 15.00 -50.00 52.00
10.00 -104.00 40.00 | 17.00 -51.00 50.00
12.00 -106.00 38.00 | 23.00 -53.00 46.00
18.00 -105.00 34.00 | 27.00 -54.00 41.00
20.00 -107.00 31.00 | 28.00 -56.00 38.00
22.00 -108.00 28.00 | 31.00 -57.00 33.00
25.00 -108.00 25.00 | 32.00 -57.00 31.00
28.00 -109.00 22.00 | 34.00 -58.00 30.00
28.00 -110.00 20.00 | 36.00 -59.00 26.00
31.00 -110.00 18.00 | 37.00 -59.00 24.00
31.00 -110.00 14.00 | 38.00 -61.00 21.00
33.00 -111.00 12.00 | 40.00 -60.00 17.00
36.00 -111.00 9.00 | 43.00 -61.00 13.00
38.00 -111.00 5.00 | 44.00 -62.00 12.00
40.00 -110.00 2.00 | 46.00 -61.00 7.00
40.00 -111.00 1.00 | 47.00 -61.00 3.00
42.00 -110.00 -3.00 | 48.00 -62.00 1.00
45.00 -110.00 -5.00 | 49.00 -61.00 -2.00
