1315,476
1280,520
1237,561
1181,599
1146,633
1103,669
1058,712
1012,742
924,802
847,881
818,914
780,951
670,947
588,945
504,947
369,948
208,959
203,903
207,859
223,823
223,769
172,686
163,635
166,594
169,561
163,513
89,446
102,396
115,346
145,301
168,251
192,192
243,143
305,97
331,44
502,67
622,94
731,104
838,128
978,162
1112,187
1207,210
1301,236
1395,251
1431,260
1454,264
1495,293
1456,334
1428,367
1365,411
1315,498
1248,558
1183,630
1128,683
1029,765
944,841
793,913
604,895
476,870
364,835
243,771
254,711
260,618
245,529
270,459
286,369
256,243
279,188
322,113
373,58
572,85
746,111
908,152
1054,194
1210,216
1338,243
1456,291
1462,362
1384,438
456,692
555,628
694,528
778,430
957,465
928,542
855,623
762,698
658,769
449,745
198,746
236,688
253,627
243,554
225,440
212,340
182,262
250,190
326,123
418,61
607,90
761,126
914,155
1069,187
1229,228
1367,263
1485,297
1452,367
1381,429
1294,522
1218,591
1157,649
1097,714
1018,772
944,834
855,884
672,890
489,883
288,884
