22.00 -112.00 -53.00 | 13.00 -73.00 -62.00
23.00 -113.00 -51.00 | 14.00 -73.00 -61.00
22.00 -112.00 -53.00 | 13.00 -73.00 -62.00
22.00 -113.00 -52.00 | 12.00 -72.00 -63.00
21.00 -112.00 -53.00 | 13.00 -72.00 -63.00
21.00 -110.00 -55.00 | 13.00 -71.00 -66.00
20.00 -108.00 -54.00 | 13.00 -70.00 -64.00
20.00 -109.00 -53.00 | 13.00 -71.00 -65.00
20.00 -108.00 -57.00 | 13.00 -69.00 -66.00
20.00 -106.00 -55.00 | 12.00 -69.00 -67.00
19.00 -108.00 -58.00 | 13.00 -67.00 -70.00
17.00 -106.00 -59.00 | 11.00 -65.00 -72.00
19.00 -104.00 -62.00 | 10.00 -63.00 -75.00
18.00 -103.00 -61.00 | 9.00 -62.00 -75.00
13.00 -100.00 -67.00 | 7.00 -59.00 -77.00
14.00 -100.00 -65.00 | 6.00 -60.00 -76.00
11.00 -98.00 -66.00 | 6.00 -59.00 -78.00
12.00 -96.00 -69.00 | 5.00 -56.00 -79.00
12.00 -95.00 -65.00 | 5.00 -55.00 -78.00
12.00 -94.00 -65.00 | 7.00 -53.00 -76.00
9.00 -92.00 -71.00 | 6.00 -51.00 -77.00
9.00 -89.00 -68.00 | 7.00 -50.00 -77.00
10.00 -88.00 -70.00 | 5.00 -46.00 -77.00
8.00 -85.00 -69.00 | 2.00 -42.00 -77.00
8.00 -83.00 -67.00 | 0.00 -39.00 -75.00
-1.00 -80.00 -69.00 | -2.00 -38.00 -74.00
-2.00 -79.00 -70.00 | -4.00 -33.00 -74.00
-3.00 -76.00 -69.00 | -5.00 -32.00 -74.00
-4.00 -73.00 -67.00 | -5.00 -29.00 -74.00
-4.00 -72.00 -64.00 | -4.00 -29.00 -72.00
-4.00 -69.00 -60.00 | -3.00 -30.00 -70.00
-6.00 -69.00 -63.00 | -2.00 -27.00 -73.00
-4.00 -67.00 -63.00 | -1.00 -28.00 -74.00
-1.00 -65.00 -65.00 | 2.00 -27.00 -77.00
1.00 -63.00 -66.00 | 2.00 -28.00 -79.00
2.00 -65.00 -66.00 | 3.00 -29.00 -81.00
0.00 -65.00 -71.00 | 2.00 -30.00 -82.00
2.00 -68.00 -72.00 | 6.00 -31.00 -82.00
2.00 -69.00 -73.00 | 7.00 -31.00 -83.00
3.00 -68.00 -76.00 | 8.00 -32.00 -86.00
4.00 -69.00 -73.00 | 11.00 -35.00 -83.00
8.00 -71.00 -70.00 | 12.00 -36.00 -81.00
12.00 -70.00 -73.00 | 16.00 -36.00 -80.00
14.00 -72.00 -67.00 | 19.00 -37.00 -78.00
17.00 -72.00 -69.00 | 20.00 -36.00 -80.00
19.00 -72.00 -70.00 | 19.00 -36.00 -82.00
23.00 -72.00 -67.00 | 21.00 -36.00 -81.00
26.00 -70.00 -66.00 | 22.00 -38.00 -79.00
23.00 -72.00 -67.00 | 21.00 -38.00 -79.00
23.00 -73.00 -66.00 | 23.00 -37.00 -82.00
22.00 -72.00 -69.00 | 23.00 -37.00 -81.00
23.00 -71.00 -67.00 | 25.00 -37.00 -80.00
32.00 -69.00 -67.00 | 28.00 -38.00 -79.00
29.00 -70.00 -70.00 | 30.00 -38.00 -79.00
31.00 -70.00 -65.00 | 28.00 -39.00 -78.00
32.00 -71.00 -66.00 | 29.00 -38.00 -80.00
33.00 -71.00 -66.00 | 31.00 -37.00 -82.00
35.00 -70.00 -65.00 | 30.00 -37.00 -82.00
28.00 -68.00 -72.00 | 28.00 -38.00 -82.00
31.00 -69.00 -72.00 | 29.00 -37.00 -83.00
27.00 -67.00 -76.00 | 29.00 -35.00 -86.00
24.00 -68.00 -76.00 | 29.00 -34.00 -84.00
28.00 -68.00 -69.00 | 28.00 -34.00 -80.00
32.00 -65.00 -68.00 | 30.00 -33.00 -79.00
33.00 -64.00 -68.00 | 31.00 -32.00 -77.00
30.00 -67.00 -64.00 | 30.00 -31.00 -75.00
28.00 -68.00 -67.00 | 30.00 -32.00 -75.00
30.00 -68.00 -64.00 | 29.00 -30.00 -77.00
31.00 -67.00 -62.00 | 29.00 -31.00 -74.00
28.00 -64.00 -63.00 | 29.00 -30.00 -72.00
26.00 -66.00 -63.00 | 26.00 -29.00 -76.00
24.00 -64.00 -65.00 | 24.00 -27.00 -76.00
22.00 -64.00 -64.00 | 24.00 -26.00 -76.00
26.00 -62.00 -59.00 | 26.00 -28.00 -73.00
27.00 -58.00 -62.00 | 28.00 -25.00 -72.00
29.00 -55.00 -60.00 | 28.00 -22.00 -72.00
29.00 -57.00 -59.00 | 28.00 -22.00 -72.00
29.00 -56.00 -58.00 | 28.00 -21.00 -72.00
29.00 -55.00 -57.00 | 28.00 -19.00 -72.00
29.00 -54.00 -57.00 | 28.00 -19.00 -70.00
26.00 -53.00 -58.00 | 26.00 -17.00 -70.00
26.00 -53.00 -57.00 | 26.00 -17.00 -69.00
23.00 -51.00 -60.00 | 29.00 -14.00 -70.00
24.00 -51.00 -57.00 | 30.00 -14.00 -68.00
26.00 -51.00 -55.00 | 29.00 -14.00 -66.00
27.00 -47.00 -57.00 | 32.00 -12.00 -66.00
28.00 -48.00 -53.00 | 32.00 -11.00 -66.00
28.00 -47.00 -55.00 | 34.00 -9.00 -66.00
30.00 -46.00 -54.00 | 34.00 -9.00 -69.00
30.00 -45.00 -53.00 | 35.00 -9.00 -68.00
32.00 -44.00 -53.00 | 36.00 -10.00 -67.00
30.00 -44.00 -58.00 | 36.00 -9.00 -69.00
29.00 -43.00 -62.00 | 35.00 -8.00 -70.00
29.00 -41.00 -63.00 | 35.00 -6.00 -75.00
30.00 -41.00 -61.00 | 34.00 -8.00 -72.00
32.00 -39.00 -60.00 | 34.00 -8.00 -72.00
31.00 -41.00 -61.00 | 34.00 -10.00 -70.00
34.00 -40.00 -56.00 | 37.00 -11.00 -68.00
37.00 -41.00 -54.00 | 37.00 -12.00 -67.00
40.00 -42.00 -53.00 | 39.00 -12.00 -67.00
39.00 -44.00 -51.00 | 37.00 -14.00 -65.00
34.00 -47.00 -55.00 | 35.00 -18.00 -63.00
35.00 -49.00 -53.00 | 36.00 -19.00 -61.00
34.00 -49.00 -53.00 | 37.00 -18.00 -62.00
33.00 -50.00 -50.00 | 38.00 -19.00 -60.00
34.00 -49.00 -47.00 | 39.00 -20.00 -58.00
35.00 -49.00 -46.00 | 41.00 -20.00 -55.00
36.00 -50.00 -43.00 | 42.00 -19.00 -54.00
37.00 -51.00 -43.00 | 42.00 -20.00 -54.00
40.00 -50.00 -41.00 | 43.00 -18.00 -52.00
44.00 -51.00 -36.00 | 45.00 -18.00 -51.00
41.00 -51.00 -39.00 | 44.00 -20.00 -51.00
41.00 -51.00 -36.00 | 46.00 -19.00 -52.00
41.00 -50.00 -38.00 | 47.00 -18.00 -50.00
41.00 -50.00 -39.00 | 48.00 -17.00 -51.00
40.00 -50.00 -37.00 | 48.00 -18.00 -50.00
43.00 -48.00 -36.00 | 49.00 -18.00 -47.00
44.00 -49.00 -35.00 | 50.00 -19.00 -45.00
42.00 -52.00 -33.00 | 50.00 -20.00 -45.00
43.00 -53.00 -37.00 | 49.00 -20.00 -47.00
