-54.00 -112.00 -29.00 | -56.00 -72.00 -27.00
-53.00 -111.00 -28.00 | -54.00 -73.00 -28.00
-49.00 -113.00 -26.00 | -50.00 -75.00 -29.00
-51.00 -114.00 -28.00 | -51.00 -75.00 -28.00
-51.00 -114.00 -28.00 | -50.00 -75.00 -28.00
-51.00 -116.00 -27.00 | -51.00 -75.00 -27.00
-52.00 -115.00 -27.00 | -50.00 -76.00 -29.00
-50.00 -118.00 -30.00 | -48.00 -77.00 -31.00
-45.00 -118.00 -32.00 | -46.00 -78.00 -32.00
-43.00 -118.00 -33.00 | -42.00 -80.00 -34.00
-40.00 -120.00 -37.00 | -39.00 -81.00 -37.00
-38.00 -119.00 -39.00 | -39.00 -81.00 -38.00
-34.00 -122.00 -41.00 | -35.00 -82.00 -41.00
-33.00 -121.00 -42.00 | -32.00 -83.00 -43.00
-29.00 -121.00 -44.00 | -29.00 -85.00 -46.00
-27.00 -121.00 -46.00 | -28.00 -84.00 -47.00
-25.00 -122.00 -46.00 | -26.00 -83.00 -49.00
