37.00 -77.00 31.00 | 55.00 -27.00 30.00
60.00 -80.00 -20.00 | 78.00 -25.00 -24.00
34.00 -84.00 -71.00 | 47.00 -28.00 -77.00
-10.00 -81.00 -91.00 | 0.00 -29.00 -96.00
-65.00 -74.00 -73.00 | -57.00 -28.00 -72.00
-90.00 -68.00 -12.00 | -78.00 -26.00 -8.00


-58.00 -65.00 36.00 | -43.00 -24.00 39.00
-7.00 -68.00 49.00 | 10.00 -23.00 54.00
42.00 -72.00 20.00 | 62.00 -23.00 21.00
55.00 -75.00 -35.00 | 73.00 -23.00 -43.00
27.00 -78.00 -77.00 | 37.00 -24.00 -82.00
-22.00 -76.00 -91.00 | -11.00 -23.00 -92.00
-78.00 -61.00 -68.00 | -67.00 -14.00 -66.00
-90.00 -65.00 -4.00 | -75.00 -19.00 -1.00


-58.00 -57.00 23.00 | -46.00 -17.00 25.00
-15.00 -61.00 37.00 | -1.00 -20.00 44.00
28.00 -63.00 22.00 | 46.00 -16.00 25.00
44.00 -67.00 -18.00 | 62.00 -18.00 -22.00
28.00 -66.00 -66.00 | 36.00 -12.00 -71.00
-15.00 -65.00 -81.00 | -5.00 -11.00 -83.00
-59.00 -64.00 -63.00 | -49.00 -14.00 -59.00
-79.00 -60.00 -14.00 | -65.00 -10.00 -9.00


-58.00 -60.00 25.00 | -48.00 -11.00 21.00
-11.00 -56.00 39.00 | 2.00 -13.00 45.00
22.00 -60.00 26.00 | 40.00 -16.00 31.00
45.00 -63.00 -15.00 | 66.00 -20.00 -17.00
31.00 -64.00 -62.00 | 40.00 -13.00 -67.00
-12.00 -65.00 -83.00 | -3.00 -11.00 -84.00
-57.00 -63.00 -72.00 | -46.00 -10.00 -66.00
-79.00 -60.00 -28.00 | -65.00 -9.00 -20.00


-58.00 -54.00 13.00 | -45.00 -13.00 18.00
-18.00 -54.00 36.00 | 0.00 -13.00 39.00
22.00 -57.00 21.00 | 40.00 -14.00 21.00
41.00 -63.00 -16.00 | 56.00 -14.00 -21.00
31.00 -64.00 -55.00 | 42.00 -10.00 -58.00
-8.00 -63.00 -76.00 | 4.00 -9.00 -81.00
-53.00 -58.00 -66.00 | -41.00 -6.00 -66.00
-69.00 -60.00 -22.00 | -58.00 -11.00 -19.00


-57.00 -51.00 9.00 | -45.00 -10.00 12.00
-27.00 -51.00 30.00 | -11.00 -13.00 32.00
15.00 -50.00 27.00 | 34.00 -9.00 26.00
36.00 -58.00 -4.00 | 53.00 -13.00 -10.00
33.00 -61.00 -43.00 | 45.00 -9.00 -50.00
10.00 -61.00 -68.00 | 21.00 -6.00 -74.00
-38.00 -60.00 -67.00 | -28.00 -7.00 -72.00
-69.00 -57.00 -32.00 | -57.00 -5.00 -33.00


-74.00 -63.00 8.00 | -59.00 -19.00 13.00
-38.00 -65.00 43.00 | -17.00 -22.00 43.00
12.00 -68.00 42.00 | 31.00 -24.00 36.00
51.00 -69.00 -5.00 | 64.00 -23.00 -10.00
40.00 -71.00 -53.00 | 55.00 -21.00 -59.00
