22.00 -114.00 4.00 | -57.00 22.00 -131.00
21.00 -114.00 4.00 | -56.00 22.00 -129.00
23.00 -114.00 5.00 | -57.00 22.00 -131.00
21.00 -114.00 5.00 | -56.00 21.00 -131.00
22.00 -113.00 5.00 | -56.00 21.00 -130.00
23.00 -114.00 6.00 | -56.00 21.00 -131.00
23.00 -114.00 5.00 | -57.00 22.00 -130.00
21.00 -113.00 5.00 | -56.00 21.00 -130.00
23.00 -114.00 4.00 | -57.00 21.00 -130.00
22.00 -114.00 5.00 | -57.00 22.00 -130.00
21.00 -114.00 5.00 | -57.00 22.00 -130.00
22.00 -114.00 4.00 | -57.00 22.00 -131.00
22.00 -115.00 5.00 | -57.00 21.00 -131.00
21.00 -114.00 5.00 | -57.00 22.00 -130.00
22.00 -113.00 5.00 | -57.00 21.00 -130.00
22.00 -114.00 6.00 | -56.00 22.00 -130.00
21.00 -114.00 6.00 | -57.00 21.00 -131.00
22.00 -113.00 6.00 | -57.00 21.00 -129.00
20.00 -114.00 5.00 | -56.00 21.00 -130.00
22.00 -113.00 5.00 | -56.00 21.00 -130.00
22.00 -114.00 5.00 | -56.00 21.00 -131.00
20.00 -114.00 5.00 | -57.00 21.00 -131.00
22.00 -114.00 6.00 | -57.00 21.00 -131.00
21.00 -114.00 5.00 | -57.00 22.00 -131.00
21.00 -115.00 6.00 | -57.00 21.00 -131.00
22.00 -114.00 5.00 | -57.00 21.00 -129.00
21.00 -113.00 6.00 | -57.00 21.00 -130.00
22.00 -114.00 6.00 | -58.00 20.00 -130.00
21.00 -114.00 6.00 | -57.00 21.00 -130.00
21.00 -113.00 5.00 | -57.00 21.00 -130.00
21.00 -114.00 5.00 | -56.00 21.00 -129.00
21.00 -114.00 5.00 | -57.00 21.00 -130.00
22.00 -114.00 5.00 | -57.00 21.00 -130.00
21.00 -113.00 5.00 | -57.00 21.00 -130.00
21.00 -114.00 5.00 | -58.00 21.00 -130.00
21.00 -113.00 5.00 | -57.00 21.00 -130.00
21.00 -114.00 6.00 | -58.00 21.00 -131.00
21.00 -114.00 6.00 | -58.00 21.00 -130.00
21.00 -113.00 6.00 | -58.00 21.00 -130.00
20.00 -114.00 5.00 | -57.00 22.00 -129.00
23.00 -114.00 5.00 | -58.00 20.00 -130.00
21.00 -114.00 7.00 | -57.00 21.00 -130.00
21.00 -114.00 6.00 | -59.00 21.00 -131.00
23.00 -113.00 4.00 | -58.00 20.00 -129.00
20.00 -114.00 7.00 | -57.00 21.00 -131.00
22.00 -114.00 5.00 | -57.00 21.00 -129.00
22.00 -114.00 5.00 | -58.00 21.00 -130.00
20.00 -115.00 5.00 | -58.00 22.00 -130.00
22.00 -114.00 4.00 | -59.00 21.00 -129.00
21.00 -114.00 6.00 | -58.00 21.00 -130.00
21.00 -114.00 5.00 | -58.00 22.00 -130.00
