-65.00 -99.00 -56.00 | -70.00 -53.00 -48.00
-65.00 -100.00 -57.00 | -69.00 -52.00 -48.00
-67.00 -98.00 -58.00 | -70.00 -52.00 -49.00
-66.00 -100.00 -58.00 | -70.00 -53.00 -48.00
-66.00 -100.00 -55.00 | -69.00 -53.00 -48.00
-65.00 -101.00 -55.00 | -70.00 -54.00 -47.00
-66.00 -102.00 -55.00 | -69.00 -54.00 -46.00
-65.00 -101.00 -54.00 | -70.00 -55.00 -45.00
-65.00 -102.00 -54.00 | -69.00 -56.00 -44.00
-67.00 -102.00 -54.00 | -73.00 -54.00 -43.00
-67.00 -103.00 -53.00 | -71.00 -55.00 -42.00
-67.00 -103.00 -54.00 | -72.00 -56.00 -41.00
-66.00 -104.00 -53.00 | -72.00 -57.00 -41.00
-66.00 -104.00 -51.00 | -72.00 -56.00 -40.00
-67.00 -104.00 -51.00 | -73.00 -56.00 -37.00
-67.00 -104.00 -49.00 | -73.00 -56.00 -37.00
-68.00 -105.00 -48.00 | -74.00 -57.00 -36.00
-70.00 -104.00 -48.00 | -75.00 -56.00 -35.00
-70.00 -103.00 -46.00 | -76.00 -56.00 -33.00
-73.00 -103.00 -45.00 | -79.00 -56.00 -30.00
-77.00 -104.00 -43.00 | -80.00 -54.00 -27.00
-77.00 -104.00 -40.00 | -81.00 -54.00 -25.00
-79.00 -102.00 -37.00 | -82.00 -54.00 -20.00
-80.00 -103.00 -35.00 | -81.00 -54.00 -18.00
-81.00 -103.00 -35.00 | -83.00 -52.00 -18.00
-82.00 -103.00 -35.00 | -83.00 -54.00 -18.00
-83.00 -101.00 -34.00 | -83.00 -52.00 -16.00
-84.00 -102.00 -34.00 | -83.00 -53.00 -16.00
-83.00 -104.00 -33.00 | -84.00 -53.00 -16.00
-81.00 -105.00 -32.00 | -81.00 -54.00 -15.00
-81.00 -104.00 -30.00 | -79.00 -55.00 -13.00
-81.00 -105.00 -27.00 | -80.00 -55.00 -11.00
-80.00 -106.00 -28.00 | -78.00 -55.00 -12.00
-80.00 -104.00 -25.00 | -78.00 -55.00 -10.00
-80.00 -105.00 -25.00 | -78.00 -54.00 -11.00
-81.00 -106.00 -26.00 | -77.00 -54.00 -12.00
-79.00 -105.00 -25.00 | -77.00 -54.00 -12.00
-79.00 -106.00 -24.00 | -76.00 -55.00 -12.00
-79.00 -106.00 -24.00 | -76.00 -54.00 -12.00
-79.00 -106.00 -23.00 | -75.00 -54.00 -12.00
-79.00 -105.00 -22.00 | -75.00 -55.00 -13.00
-78.00 -104.00 -20.00 | -74.00 -55.00 -12.00
-80.00 -103.00 -19.00 | -76.00 -53.00 -11.00
-78.00 -103.00 -17.00 | -75.00 -52.00 -10.00
-79.00 -101.00 -16.00 | -75.00 -53.00 -8.00
-79.00 -101.00 -15.00 | -76.00 -52.00 -9.00
-79.00 -102.00 -16.00 | -75.00 -53.00 -10.00
-79.00 -102.00 -16.00 | -75.00 -53.00 -11.00
-78.00 -101.00 -18.00 | -74.00 -53.00 -11.00
-77.00 -101.00 -19.00 | -75.00 -53.00 -13.00
-77.00 -102.00 -20.00 | -73.00 -52.00 -14.00
-78.00 -101.00 -20.00 | -73.00 -53.00 -13.00
-76.00 -101.00 -19.00 | -73.00 -53.00 -15.00
-77.00 -101.00 -21.00 | -74.00 -52.00 -14.00
-76.00 -101.00 -20.00 | -73.00 -52.00 -15.00
-75.00 -102.00 -21.00 | -73.00 -53.00 -16.00
-75.00 -102.00 -23.00 | -73.00 -54.00 -17.00
-74.00 -102.00 -22.00 | -72.00 -54.00 -17.00
