58.00 -118.00 3.00 | 74.00 -69.00 -3.00
59.00 -118.00 -3.00 | 74.00 -70.00 -8.00
60.00 -118.00 -8.00 | 74.00 -70.00 -14.00
58.00 -118.00 -11.00 | 72.00 -71.00 -17.00
59.00 -119.00 -17.00 | 73.00 -72.00 -22.00
58.00 -119.00 -20.00 | 72.00 -71.00 -26.00
57.00 -119.00 -22.00 | 72.00 -72.00 -28.00
58.00 -118.00 -26.00 | 72.00 -72.00 -32.00
57.00 -118.00 -30.00 | 70.00 -72.00 -37.00
56.00 -119.00 -31.00 | 71.00 -72.00 -37.00
56.00 -119.00 -34.00 | 69.00 -72.00 -39.00
55.00 -119.00 -34.00 | 69.00 -72.00 -41.00
54.00 -120.00 -36.00 | 68.00 -72.00 -41.00


42.00 -148.00 -21.00 | 59.00 -98.00 -19.00
44.00 -148.00 -21.00 | 61.00 -97.00 -20.00
48.00 -146.00 -21.00 | 65.00 -96.00 -19.00
49.00 -145.00 -16.00 | 67.00 -95.00 -15.00
48.00 -145.00 -14.00 | 65.00 -95.00 -13.00
47.00 -146.00 -9.00 | 64.00 -95.00 -8.00
48.00 -146.00 -10.00 | 67.00 -95.00 -11.00
47.00 -148.00 -16.00 | 65.00 -96.00 -14.00
45.00 -148.00 -23.00 | 61.00 -98.00 -21.00
46.00 -146.00 -26.00 | 62.00 -96.00 -26.00
40.00 -149.00 -28.00 | 59.00 -97.00 -27.00
40.00 -148.00 -30.00 | 58.00 -98.00 -30.00
38.00 -149.00 -34.00 | 56.00 -98.00 -32.00
36.00 -149.00 -37.00 | 54.00 -98.00 -36.00
35.00 -149.00 -39.00 | 52.00 -99.00 -40.00
32.00 -149.00 -44.00 | 51.00 -99.00 -43.00
33.00 -148.00 -46.00 | 50.00 -98.00 -46.00
31.00 -149.00 -48.00 | 49.00 -98.00 -49.00
29.00 -150.00 -50.00 | 48.00 -99.00 -49.00
25.00 -149.00 -53.00 | 46.00 -99.00 -52.00
24.00 -150.00 -54.00 | 42.00 -98.00 -57.00
20.00 -149.00 -57.00 | 39.00 -98.00 -58.00
20.00 -149.00 -61.00 | 39.00 -98.00 -62.00
20.00 -148.00 -64.00 | 38.00 -96.00 -66.00
16.00 -147.00 -67.00 | 35.00 -96.00 -71.00
15.00 -147.00 -71.00 | 33.00 -96.00 -73.00
13.00 -147.00 -72.00 | 29.00 -96.00 -76.00
8.00 -146.00 -74.00 | 25.00 -96.00 -78.00
4.00 -146.00 -78.00 | 23.00 -95.00 -80.00
0.00 -146.00 -78.00 | 16.00 -94.00 -83.00
-5.00 -146.00 -82.00 | 9.00 -94.00 -87.00
-11.00 -144.00 -83.00 | 6.00 -94.00 -87.00
-14.00 -144.00 -84.00 | 1.00 -92.00 -90.00
-18.00 -143.00 -84.00 | -6.00 -92.00 -90.00
-26.00 -143.00 -86.00 | -10.00 -92.00 -92.00
-29.00 -142.00 -86.00 | -17.00 -91.00 -92.00
-34.00 -141.00 -87.00 | -23.00 -90.00 -91.00
-40.00 -140.00 -85.00 | -29.00 -89.00 -90.00
-44.00 -139.00 -84.00 | -31.00 -89.00 -89.00
-46.00 -141.00 -82.00 | -35.00 -89.00 -87.00
-50.00 -140.00 -80.00 | -41.00 -89.00 -83.00
-54.00 -141.00 -77.00 | -42.00 -89.00 -82.00
-57.00 -141.00 -75.00 | -46.00 -89.00 -76.00
-61.00 -140.00 -74.00 | -51.00 -89.00 -76.00
-61.00 -139.00 -74.00 | -54.00 -88.00 -74.00
-67.00 -137.00 -72.00 | -60.00 -86.00 -73.00
-72.00 -137.00 -68.00 | -63.00 -86.00 -68.00
-74.00 -136.00 -68.00 | -68.00 -85.00 -64.00
-78.00 -135.00 -63.00 | -70.00 -85.00 -62.00
-81.00 -135.00 -60.00 | -73.00 -84.00 -57.00
-82.00 -136.00 -57.00 | -76.00 -84.00 -52.00
-85.00 -134.00 -55.00 | -77.00 -84.00 -50.00
-86.00 -133.00 -50.00 | -79.00 -84.00 -44.00
-88.00 -134.00 -46.00 | -80.00 -84.00 -40.00
-88.00 -134.00 -47.00 | -81.00 -84.00 -38.00
-90.00 -134.00 -41.00 | -80.00 -83.00 -34.00
-91.00 -134.00 -38.00 | -80.00 -84.00 -32.00
-92.00 -134.00 -36.00 | -82.00 -83.00 -28.00
-96.00 -132.00 -31.00 | -84.00 -82.00 -22.00
-97.00 -130.00 -26.00 | -86.00 -81.00 -15.00
-100.00 -129.00 -21.00 | -87.00 -80.00 -9.00
-99.00 -130.00 -18.00 | -86.00 -80.00 -6.00
-99.00 -130.00 -15.00 | -85.00 -81.00 -2.00
-98.00 -131.00 -11.00 | -82.00 -82.00 1.00
-97.00 -131.00 -9.00 | -82.00 -83.00 4.00
-98.00 -130.00 -2.00 | -81.00 -81.00 11.00
-98.00 -129.00 2.00 | -79.00 -80.00 18.00
-98.00 -128.00 8.00 | -79.00 -80.00 21.00
-97.00 -127.00 12.00 | -76.00 -79.00 26.00
-94.00 -128.00 15.00 | -74.00 -80.00 29.00
-92.00 -127.00 19.00 | -72.00 -81.00 33.00
-88.00 -128.00 25.00 | -67.00 -81.00 37.00
-86.00 -127.00 32.00 | -64.00 -79.00 43.00
-84.00 -128.00 34.00 | -61.00 -81.00 45.00
-77.00 -129.00 38.00 | -54.00 -82.00 48.00
-73.00 -129.00 42.00 | -50.00 -82.00 51.00
-70.00 -129.00 46.00 | -47.00 -82.00 55.00
-67.00 -127.00 52.00 | -40.00 -81.00 60.00
-60.00 -127.00 55.00 | -36.00 -81.00 62.00
-57.00 -128.00 57.00 | -33.00 -82.00 64.00
-53.00 -128.00 60.00 | -27.00 -82.00 65.00
-51.00 -129.00 60.00 | -24.00 -83.00 65.00
-47.00 -128.00 60.00 | -20.00 -83.00 64.00
-41.00 -130.00 62.00 | -16.00 -84.00 66.00
-36.00 -130.00 63.00 | -12.00 -83.00 67.00
-32.00 -130.00 63.00 | -4.00 -84.00 66.00
