30.00 -59.00 -53.00 | 40.00 -21.00 -55.00
32.00 -56.00 -53.00 | 40.00 -19.00 -56.00
33.00 -55.00 -52.00 | 41.00 -20.00 -55.00
32.00 -55.00 -51.00 | 40.00 -20.00 -54.00
30.00 -58.00 -53.00 | 40.00 -20.00 -55.00
32.00 -58.00 -51.00 | 42.00 -20.00 -52.00
33.00 -56.00 -51.00 | 45.00 -18.00 -53.00
34.00 -55.00 -48.00 | 46.00 -17.00 -51.00
35.00 -56.00 -47.00 | 46.00 -19.00 -47.00
34.00 -59.00 -49.00 | 47.00 -19.00 -48.00
34.00 -58.00 -46.00 | 47.00 -20.00 -48.00
37.00 -56.00 -45.00 | 48.00 -18.00 -48.00
38.00 -54.00 -45.00 | 47.00 -19.00 -49.00
38.00 -55.00 -44.00 | 47.00 -18.00 -49.00
