61.00 -83.00 -49.00 | 73.00 -47.00 -39.00
29.00 -82.00 -88.00 | 32.00 -51.00 -70.00
-34.00 -79.00 -100.00 | -35.00 -45.00 -74.00
-76.00 -85.00 -68.00 | -70.00 -37.00 -31.00
-84.00 -93.00 -10.00 | -69.00 -28.00 25.00


-43.00 -94.00 41.00 | -25.00 -16.00 64.00
17.00 -87.00 46.00 | 35.00 -16.00 63.00
54.00 -80.00 6.00 | 75.00 -27.00 19.00
61.00 -77.00 -42.00 | 77.00 -43.00 -39.00
31.00 -78.00 -84.00 | 33.00 -51.00 -73.00
-14.00 -79.00 -96.00 | -21.00 -44.00 -80.00
-72.00 -80.00 -66.00 | -65.00 -32.00 -41.00
-83.00 -88.00 -6.00 | -67.00 -25.00 17.00


-48.00 -89.00 34.00 | -30.00 -11.00 56.00
11.00 -83.00 41.00 | 26.00 -13.00 55.00
49.00 -74.00 8.00 | 66.00 -20.00 20.00
54.00 -71.00 -41.00 | 75.00 -35.00 -35.00
24.00 -72.00 -81.00 | 28.00 -49.00 -72.00
-25.00 -72.00 -89.00 | -30.00 -37.00 -75.00
-70.00 -75.00 -60.00 | -63.00 -25.00 -34.00
-82.00 -82.00 -5.00 | -63.00 -19.00 15.00


-48.00 -84.00 39.00 | -31.00 -12.00 48.00
9.00 -80.00 40.00 | 19.00 -14.00 55.00
44.00 -71.00 10.00 | 64.00 -16.00 27.00
51.00 -69.00 -32.00 | 78.00 -29.00 -27.00
27.00 -71.00 -73.00 | 32.00 -44.00 -75.00
-20.00 -70.00 -90.00 | -30.00 -34.00 -74.00
-68.00 -72.00 -64.00 | -62.00 -23.00 -35.00
-84.00 -78.00 -9.00 | -61.00 -16.00 10.00


-39.00 -98.00 34.00 | -20.00 -15.00 58.00
12.00 -87.00 38.00 | 30.00 -18.00 52.00
48.00 -79.00 6.00 | 67.00 -23.00 16.00
53.00 -75.00 -45.00 | 71.00 -42.00 -39.00
19.00 -76.00 -82.00 | 23.00 -54.00 -66.00
-40.00 -78.00 -82.00 | -41.00 -42.00 -61.00
-73.00 -77.00 -52.00 | -67.00 -26.00 -28.00
-81.00 -89.00 3.00 | -62.00 -17.00 27.00


-40.00 -73.00 33.00 | -24.00 -7.00 40.00
10.00 -67.00 31.00 | 23.00 -8.00 38.00
40.00 -61.00 2.00 | 57.00 -11.00 5.00
39.00 -63.00 -42.00 | 57.00 -26.00 -49.00
16.00 -65.00 -68.00 | 20.00 -34.00 -73.00
-25.00 -67.00 -72.00 | -26.00 -23.00 -63.00
-60.00 -67.00 -46.00 | -51.00 -16.00 -32.00
-70.00 -70.00 1.00 | -51.00 -10.00 11.00


-37.00 -92.00 39.00 | -14.00 -14.00 52.00
18.00 -83.00 40.00 | 28.00 -20.00 44.00
49.00 -72.00 3.00 | 62.00 -25.00 11.00
46.00 -71.00 -49.00 | 70.00 -44.00 -49.00
11.00 -74.00 -79.00 | 14.00 -55.00 -74.00
-38.00 -80.00 -72.00 | -40.00 -36.00 -61.00
-68.00 -81.00 -46.00 | -62.00 -24.00 -26.00
-75.00 -89.00 9.00 | -52.00 -16.00 23.00


-41.00 -146.00 34.00 | -22.00 -70.00 63.00
15.00 -139.00 38.00 | 34.00 -71.00 64.00
56.00 -130.00 -6.00 | 77.00 -78.00 16.00
52.00 -129.00 -49.00 | 73.00 -95.00 -34.00
16.00 -131.00 -84.00 | 23.00 -106.00 -62.00
-42.00 -132.00 -80.00 | -39.00 -93.00 -48.00
-74.00 -135.00 -52.00 | -62.00 -80.00 -14.00
-79.00 -143.00 6.00 | -53.00 -72.00 38.00


-39.00 -145.00 52.00 | -9.00 -56.00 91.00
24.00 -143.00 55.00 | 51.00 -59.00 78.00
74.00 -129.00 0.00 | 93.00 -71.00 16.00
67.00 -123.00 -68.00 | 84.00 -95.00 -51.00
13.00 -121.00 -109.00 | 19.00 -108.00 -80.00
-54.00 -125.00 -94.00 | -51.00 -97.00 -62.00
-95.00 -128.00 -45.00 | -82.00 -78.00 -6.00
-89.00 -140.00 21.00 | -62.00 -63.00 59.00


-36.00 -117.00 51.00 | -14.00 -37.00 80.00
27.00 -114.00 51.00 | 45.00 -35.00 69.00
67.00 -109.00 4.00 | 86.00 -45.00 16.00
65.00 -103.00 -61.00 | 79.00 -71.00 -54.00
21.00 -101.00 -100.00 | 22.00 -80.00 -78.00
-40.00 -102.00 -97.00 | -41.00 -76.00 -69.00
-89.00 -102.00 -55.00 | -78.00 -59.00 -17.00
-87.00 -115.00 19.00 | -65.00 -45.00 48.00


-26.00 -59.00 36.00 | -1.00 -15.00 65.00
10.00 -66.00 31.00 | 40.00 -21.00 51.00
47.00 -78.00 -11.00 | 62.00 -27.00 2.00
44.00 -82.00 -62.00 | 39.00 -22.00 -37.00
4.00 -81.00 -88.00 | 10.00 -22.00 -65.00
-52.00 -83.00 -73.00 | -38.00 -28.00 -49.00
-67.00 -84.00 -39.00 | -60.00 -31.00 -10.00
-55.00 -69.00 3.00 | -49.00 -20.00 43.00


-45.00 -59.00 27.00 | -15.00 -6.00 74.00
9.00 -78.00 38.00 | 40.00 -9.00 64.00
62.00 -76.00 2.00 | 77.00 -18.00 19.00
62.00 -76.00 -50.00 | 59.00 -23.00 -21.00
21.00 -72.00 -98.00 | 31.00 -21.00 -64.00
-34.00 -73.00 -99.00 | -21.00 -38.00 -66.00
-82.00 -79.00 -57.00 | -73.00 -31.00 -22.00
-69.00 -79.00 -15.00 | -69.00 -19.00 32.00


0.00 -50.00 35.00 | 20.00 -12.00 50.00
28.00 -57.00 10.00 | 47.00 -22.00 20.00
43.00 -66.00 -27.00 | 53.00 -21.00 -28.00
26.00 -68.00 -74.00 | 18.00 -14.00 -58.00
-14.00 -72.00 -82.00 | -9.00 -13.00 -60.00
-56.00 -78.00 -55.00 | -42.00 -17.00 -37.00
-61.00 -74.00 -12.00 | -55.00 -17.00 6.00
-33.00 -61.00 21.00 | -27.00 -8.00 48.00


-24.00 -102.00 29.00 | -2.00 -47.00 62.00
10.00 -109.00 24.00 | 30.00 -51.00 49.00
40.00 -116.00 -11.00 | 54.00 -61.00 10.00
36.00 -112.00 -60.00 | 40.00 -61.00 -36.00
4.00 -110.00 -80.00 | 11.00 -61.00 -53.00
-40.00 -117.00 -62.00 | -29.00 -68.00 -32.00
-66.00 -112.00 -40.00 | -57.00 -64.00 -5.00
-55.00 -107.00 4.00 | -43.00 -51.00 43.00


-6.00 -74.00 22.00 | 16.00 -11.00 47.00
28.00 -75.00 12.00 | 45.00 -13.00 26.00
47.00 -75.00 -27.00 | 58.00 -24.00 -15.00
27.00 -70.00 -70.00 | 30.00 -35.00 -51.00
-14.00 -70.00 -80.00 | -8.00 -31.00 -54.00
-52.00 -75.00 -53.00 | -45.00 -30.00 -28.00
-64.00 -76.00 -19.00 | -56.00 -22.00 10.00
-38.00 -78.00 18.00 | -25.00 -11.00 46.00


47.00 -80.00 49.00 | 90.00 -18.00 62.00
97.00 -79.00 -8.00 | 103.00 -23.00 -11.00
83.00 -80.00 -103.00 | 69.00 -32.00 -73.00
-7.00 -75.00 -146.00 | 2.00 -38.00 -100.00
-87.00 -76.00 -102.00 | -69.00 -33.00 -74.00
-108.00 -73.00 -19.00 | -111.00 -24.00 12.00
-85.00 -75.00 30.00 | -83.00 -19.00 88.00
-18.00 -77.00 65.00 | 21.00 -8.00 116.00


81.00 -107.00 -151.00 | 54.00 -52.00 -71.00
-30.00 -101.00 -171.00 | 10.00 -56.00 -94.00
-102.00 -96.00 -94.00 | -61.00 -60.00 -84.00
-103.00 -90.00 -18.00 | -132.00 -53.00 9.00
-78.00 -92.00 26.00 | -96.00 -33.00 131.00
-20.00 -91.00 70.00 | 59.00 -20.00 138.00
45.00 -100.00 60.00 | 107.00 -35.00 52.00
120.00 -107.00 -25.00 | 91.00 -42.00 -28.00


-33.00 -73.00 9.00 | -11.00 -22.00 43.00
-12.00 -76.00 20.00 | 18.00 -25.00 35.00
26.00 -84.00 3.00 | 37.00 -31.00 5.00
37.00 -82.00 -42.00 | 30.00 -28.00 -21.00
10.00 -82.00 -66.00 | 22.00 -28.00 -39.00
-30.00 -87.00 -55.00 | -9.00 -37.00 -42.00
-50.00 -83.00 -38.00 | -44.00 -36.00 -28.00
-45.00 -78.00 -15.00 | -46.00 -27.00 17.00


-48.00 -90.00 16.00 | -27.00 -40.00 52.00
-21.00 -95.00 31.00 | 6.00 -39.00 56.00
28.00 -103.00 15.00 | 48.00 -43.00 28.00
