-46.00 -73.00 8.00 | -37.00 -24.00 13.00
-48.00 -73.00 7.00 | -37.00 -24.00 13.00
-45.00 -72.00 7.00 | -36.00 -24.00 13.00
-45.00 -69.00 10.00 | -35.00 -22.00 16.00
-43.00 -68.00 12.00 | -34.00 -19.00 18.00
-43.00 -66.00 14.00 | -34.00 -18.00 19.00
-43.00 -61.00 16.00 | -32.00 -15.00 20.00
-42.00 -60.00 16.00 | -33.00 -13.00 22.00
-43.00 -59.00 18.00 | -31.00 -11.00 24.00
-43.00 -59.00 17.00 | -31.00 -10.00 24.00
-43.00 -57.00 18.00 | -30.00 -7.00 26.00
-42.00 -54.00 22.00 | -29.00 -4.00 29.00
-42.00 -52.00 23.00 | -28.00 -1.00 30.00
-42.00 -47.00 21.00 | -29.00 3.00 32.00
-43.00 -45.00 24.00 | -28.00 3.00 33.00
-41.00 -43.00 26.00 | -28.00 5.00 36.00
-39.00 -42.00 30.00 | -25.00 5.00 39.00
-39.00 -41.00 32.00 | -25.00 7.00 40.00
-36.00 -38.00 37.00 | -22.00 7.00 46.00
-36.00 -38.00 36.00 | -19.00 8.00 50.00
-34.00 -35.00 41.00 | -17.00 9.00 52.00
-34.00 -36.00 43.00 | -13.00 9.00 55.00
-31.00 -36.00 48.00 | -9.00 8.00 60.00
-30.00 -35.00 49.00 | -7.00 10.00 61.00
-27.00 -33.00 54.00 | -1.00 10.00 66.00
-25.00 -36.00 57.00 | 4.00 11.00 69.00
-22.00 -32.00 62.00 | 8.00 11.00 72.00
-19.00 -35.00 64.00 | 12.00 10.00 72.00
-12.00 -35.00 66.00 | 21.00 8.00 73.00
-2.00 -34.00 72.00 | 33.00 8.00 72.00
4.00 -32.00 73.00 | 40.00 9.00 71.00
14.00 -34.00 70.00 | 53.00 5.00 64.00
21.00 -30.00 74.00 | 62.00 8.00 57.00
30.00 -30.00 69.00 | 67.00 7.00 50.00
41.00 -31.00 64.00 | 72.00 4.00 38.00
46.00 -30.00 60.00 | 74.00 1.00 25.00
55.00 -31.00 50.00 | 74.00 -2.00 18.00
56.00 -40.00 31.00 | 67.00 -9.00 5.00
54.00 -41.00 28.00 | 56.00 -14.00 3.00
52.00 -45.00 18.00 | 51.00 -18.00 -2.00
51.00 -48.00 10.00 | 47.00 -19.00 -1.00
47.00 -51.00 7.00 | 38.00 -21.00 -1.00
43.00 -52.00 5.00 | 24.00 -22.00 0.00
30.00 -58.00 -3.00 | 15.00 -23.00 1.00
20.00 -59.00 -2.00 | 8.00 -22.00 2.00
15.00 -60.00 -1.00 | 0.00 -22.00 5.00
6.00 -62.00 0.00 | -4.00 -22.00 6.00
-4.00 -62.00 7.00 | -10.00 -23.00 11.00
-9.00 -62.00 8.00 | -19.00 -21.00 13.00
-20.00 -65.00 7.00 | -22.00 -22.00 14.00
-25.00 -64.00 7.00 | -31.00 -22.00 14.00
-31.00 -66.00 7.00 | -33.00 -22.00 16.00
-33.00 -64.00 13.00 | -33.00 -22.00 18.00
-35.00 -63.00 18.00 | -35.00 -22.00 21.00
-39.00 -62.00 16.00 | -43.00 -21.00 20.00
