175.00 -82.00 35.00 | 167.00 -33.00 -35.00
175.00 -80.00 35.00 | 169.00 -33.00 -35.00
175.00 -83.00 31.00 | 168.00 -33.00 -36.00
175.00 -81.00 32.00 | 167.00 -32.00 -35.00
176.00 -79.00 31.00 | 167.00 -29.00 -36.00
180.00 -69.00 29.00 | 169.00 -24.00 -36.00
189.00 -72.00 14.00 | 167.00 -23.00 -45.00
194.00 -78.00 2.00 | 155.00 -34.00 -61.00
202.00 -87.00 -23.00 | 152.00 -36.00 -69.00
207.00 -87.00 -43.00 | 144.00 -37.00 -80.00
208.00 -87.00 -53.00 | 138.00 -38.00 -89.00
209.00 -85.00 -68.00 | 137.00 -38.00 -91.00
210.00 -86.00 -85.00 | 127.00 -37.00 -101.00
209.00 -87.00 -104.00 | 124.00 -38.00 -105.00
208.00 -86.00 -114.00 | 118.00 -37.00 -112.00
203.00 -85.00 -137.00 | 110.00 -37.00 -120.00
195.00 -84.00 -165.00 | 105.00 -38.00 -123.00
190.00 -84.00 -179.00 | 96.00 -39.00 -130.00
171.00 -82.00 -207.00 | 84.00 -38.00 -139.00
148.00 -80.00 -234.00 | 78.00 -39.00 -142.00
136.00 -78.00 -244.00 | 67.00 -37.00 -148.00
103.00 -74.00 -264.00 | 54.00 -38.00 -155.00
86.00 -73.00 -273.00 | 46.00 -38.00 -156.00
56.00 -72.00 -284.00 | 36.00 -37.00 -160.00
32.00 -71.00 -289.00 | 28.00 -39.00 -162.00
14.00 -68.00 -291.00 | 22.00 -37.00 -164.00
7.00 -65.00 -291.00 | 19.00 -37.00 -165.00
-1.00 -62.00 -290.00 | 16.00 -36.00 -165.00
-11.00 -62.00 -289.00 | 12.00 -36.00 -166.00
-17.00 -62.00 -288.00 | 10.00 -36.00 -166.00
-30.00 -62.00 -287.00 | 6.00 -36.00 -167.00
-40.00 -59.00 -284.00 | 0.00 -36.00 -167.00
-44.00 -59.00 -283.00 | -1.00 -35.00 -168.00
-56.00 -56.00 -280.00 | -7.00 -35.00 -168.00
-71.00 -56.00 -276.00 | -10.00 -35.00 -169.00
-81.00 -55.00 -271.00 | -19.00 -35.00 -169.00
-86.00 -54.00 -270.00 | -20.00 -35.00 -170.00
-97.00 -53.00 -265.00 | -25.00 -34.00 -170.00
-116.00 -51.00 -255.00 | -35.00 -33.00 -170.00
-123.00 -51.00 -251.00 | -39.00 -33.00 -170.00
-132.00 -49.00 -243.00 | -45.00 -32.00 -170.00
-140.00 -46.00 -236.00 | -50.00 -30.00 -169.00
-151.00 -46.00 -225.00 | -60.00 -30.00 -169.00
-162.00 -43.00 -211.00 | -69.00 -27.00 -167.00
-167.00 -41.00 -206.00 | -73.00 -25.00 -166.00
-176.00 -41.00 -193.00 | -82.00 -25.00 -163.00
-183.00 -41.00 -178.00 | -92.00 -24.00 -161.00
-190.00 -41.00 -165.00 | -100.00 -22.00 -158.00
-192.00 -40.00 -159.00 | -110.00 -20.00 -154.00
-197.00 -40.00 -145.00 | -113.00 -19.00 -153.00
-202.00 -38.00 -131.00 | -124.00 -17.00 -148.00
-203.00 -37.00 -123.00 | -135.00 -14.00 -142.00
-204.00 -37.00 -107.00 | -140.00 -12.00 -140.00
-205.00 -37.00 -94.00 | -150.00 -9.00 -132.00
-205.00 -39.00 -88.00 | -157.00 -9.00 -127.00
-206.00 -41.00 -77.00 | -160.00 -9.00 -122.00
-204.00 -43.00 -64.00 | -168.00 -8.00 -114.00
-203.00 -45.00 -52.00 | -178.00 -8.00 -105.00
-202.00 -44.00 -48.00 | -185.00 -7.00 -97.00
-200.00 -46.00 -37.00 | -188.00 -5.00 -92.00
-198.00 -47.00 -26.00 | -196.00 -4.00 -83.00
-196.00 -48.00 -23.00 | -202.00 -3.00 -74.00
-195.00 -50.00 -17.00 | -204.00 -4.00 -71.00
-193.00 -52.00 -14.00 | -209.00 -6.00 -64.00
-192.00 -53.00 -8.00 | -214.00 -6.00 -56.00
-190.00 -55.00 -1.00 | -216.00 -6.00 -51.00
-188.00 -57.00 2.00 | -220.00 -7.00 -41.00
-187.00 -56.00 9.00 | -222.00 -6.00 -37.00
-184.00 -56.00 13.00 | -226.00 -3.00 -23.00
-180.00 -57.00 19.00 | -228.00 -3.00 -18.00
-179.00 -57.00 21.00 | -231.00 -1.00 -9.00
-176.00 -57.00 26.00 | -234.00 0.00 4.00
-172.00 -57.00 33.00 | -235.00 2.00 11.00
-169.00 -58.00 36.00 | -235.00 3.00 25.00
-165.00 -58.00 44.00 | -236.00 4.00 34.00
-159.00 -57.00 51.00 | -236.00 6.00 51.00
-157.00 -58.00 53.00 | -235.00 8.00 66.00
-152.00 -59.00 59.00 | -235.00 8.00 73.00
-146.00 -61.00 64.00 | -231.00 8.00 91.00
-143.00 -62.00 67.00 | -227.00 9.00 111.00
-137.00 -63.00 71.00 | -221.00 9.00 130.00
-132.00 -64.00 75.00 | -218.00 9.00 137.00
-129.00 -63.00 79.00 | -208.00 10.00 152.00
-123.00 -64.00 84.00 | -197.00 12.00 170.00
-114.00 -65.00 88.00 | -191.00 12.00 181.00
-112.00 -66.00 91.00 | -175.00 11.00 200.00
-104.00 -67.00 95.00 | -161.00 11.00 213.00
-98.00 -69.00 99.00 | -154.00 10.00 219.00
-96.00 -70.00 101.00 | -139.00 8.00 230.00
-90.00 -70.00 104.00 | -123.00 10.00 239.00
-84.00 -69.00 107.00 | -114.00 11.00 243.00
-81.00 -69.00 109.00 | -97.00 10.00 251.00
