29.00 -50.00 -66.00 | 34.00 -16.00 -72.00
26.00 -51.00 -66.00 | 34.00 -17.00 -71.00
27.00 -53.00 -60.00 | 34.00 -20.00 -66.00
26.00 -55.00 -61.00 | 35.00 -20.00 -65.00
30.00 -55.00 -59.00 | 37.00 -20.00 -64.00
32.00 -55.00 -54.00 | 40.00 -19.00 -60.00
36.00 -54.00 -51.00 | 40.00 -20.00 -60.00
35.00 -56.00 -47.00 | 40.00 -22.00 -58.00
36.00 -55.00 -45.00 | 39.00 -23.00 -55.00
34.00 -57.00 -49.00 | 41.00 -21.00 -57.00
33.00 -57.00 -49.00 | 42.00 -21.00 -56.00
34.00 -55.00 -50.00 | 44.00 -19.00 -57.00
35.00 -55.00 -47.00 | 45.00 -20.00 -55.00
36.00 -54.00 -45.00 | 45.00 -20.00 -53.00
