11.00 -65.00 41.00 | 26.00 -25.00 45.00
15.00 -63.00 40.00 | 29.00 -25.00 42.00
14.00 -65.00 38.00 | 28.00 -27.00 40.00
15.00 -67.00 36.00 | 27.00 -29.00 38.00
14.00 -67.00 36.00 | 27.00 -30.00 37.00
14.00 -68.00 37.00 | 27.00 -31.00 39.00
10.00 -69.00 37.00 | 22.00 -33.00 43.00
7.00 -73.00 37.00 | 22.00 -33.00 44.00
5.00 -71.00 40.00 | 18.00 -35.00 47.00
7.00 -74.00 39.00 | 18.00 -38.00 47.00
8.00 -77.00 38.00 | 19.00 -39.00 45.00
10.00 -78.00 38.00 | 20.00 -43.00 46.00
11.00 -80.00 40.00 | 20.00 -45.00 48.00
9.00 -87.00 37.00 | 21.00 -48.00 45.00
9.00 -88.00 37.00 | 21.00 -49.00 48.00
10.00 -90.00 38.00 | 22.00 -50.00 47.00
10.00 -92.00 39.00 | 22.00 -51.00 51.00
10.00 -90.00 42.00 | 21.00 -52.00 55.00
9.00 -92.00 46.00 | 20.00 -52.00 57.00
4.00 -95.00 45.00 | 18.00 -54.00 58.00
2.00 -94.00 49.00 | 12.00 -53.00 63.00
6.00 -98.00 48.00 | 15.00 -54.00 61.00
6.00 -99.00 49.00 | 16.00 -57.00 60.00
7.00 -102.00 49.00 | 19.00 -60.00 59.00
8.00 -101.00 50.00 | 20.00 -61.00 58.00
10.00 -101.00 54.00 | 21.00 -60.00 62.00
5.00 -106.00 51.00 | 18.00 -62.00 60.00
11.00 -102.00 56.00 | 22.00 -60.00 64.00
9.00 -104.00 54.00 | 23.00 -61.00 61.00
17.00 -107.00 51.00 | 27.00 -63.00 56.00
16.00 -104.00 53.00 | 29.00 -62.00 57.00
17.00 -104.00 55.00 | 29.00 -61.00 59.00
13.00 -104.00 56.00 | 24.00 -61.00 61.00
9.00 -103.00 57.00 | 21.00 -60.00 63.00
12.00 -105.00 56.00 | 24.00 -60.00 61.00
13.00 -106.00 55.00 | 24.00 -60.00 59.00
17.00 -105.00 54.00 | 27.00 -61.00 56.00
18.00 -105.00 55.00 | 29.00 -60.00 57.00
21.00 -101.00 55.00 | 31.00 -59.00 59.00
22.00 -103.00 53.00 | 33.00 -59.00 54.00
21.00 -101.00 54.00 | 33.00 -57.00 57.00
21.00 -102.00 52.00 | 33.00 -58.00 54.00
23.00 -100.00 51.00 | 35.00 -57.00 54.00
23.00 -101.00 52.00 | 37.00 -55.00 54.00
26.00 -98.00 54.00 | 37.00 -54.00 54.00
24.00 -98.00 52.00 | 35.00 -54.00 56.00
24.00 -98.00 51.00 | 32.00 -52.00 57.00
19.00 -98.00 53.00 | 33.00 -53.00 56.00
21.00 -99.00 51.00 | 33.00 -54.00 54.00
24.00 -98.00 50.00 | 36.00 -53.00 52.00
25.00 -97.00 50.00 | 36.00 -53.00 51.00
27.00 -95.00 51.00 | 38.00 -52.00 52.00
21.00 -96.00 48.00 | 33.00 -52.00 52.00
25.00 -93.00 50.00 | 37.00 -49.00 52.00
25.00 -95.00 46.00 | 38.00 -50.00 49.00
28.00 -95.00 44.00 | 40.00 -49.00 46.00
28.00 -93.00 45.00 | 41.00 -46.00 47.00
30.00 -88.00 47.00 | 43.00 -44.00 47.00
27.00 -88.00 45.00 | 42.00 -43.00 47.00
26.00 -87.00 47.00 | 38.00 -40.00 48.00
26.00 -86.00 46.00 | 40.00 -39.00 47.00
28.00 -83.00 44.00 | 42.00 -38.00 43.00
30.00 -83.00 44.00 | 43.00 -36.00 41.00
31.00 -79.00 45.00 | 44.00 -35.00 41.00
29.00 -77.00 41.00 | 43.00 -33.00 39.00
34.00 -75.00 39.00 | 48.00 -30.00 35.00
33.00 -75.00 36.00 | 48.00 -29.00 33.00
35.00 -72.00 35.00 | 51.00 -28.00 33.00
36.00 -72.00 35.00 | 51.00 -26.00 33.00
37.00 -68.00 36.00 | 52.00 -23.00 34.00
35.00 -64.00 37.00 | 51.00 -23.00 34.00
33.00 -65.00 35.00 | 51.00 -21.00 33.00
33.00 -60.00 38.00 | 50.00 -19.00 37.00
36.00 -63.00 34.00 | 53.00 -20.00 33.00
36.00 -61.00 34.00 | 52.00 -21.00 32.00
39.00 -60.00 32.00 | 53.00 -20.00 31.00
38.00 -59.00 34.00 | 52.00 -19.00 32.00
36.00 -62.00 31.00 | 50.00 -20.00 34.00
40.00 -58.00 33.00 | 54.00 -17.00 34.00
40.00 -58.00 33.00 | 54.00 -17.00 34.00
40.00 -59.00 33.00 | 55.00 -17.00 32.00
39.00 -59.00 34.00 | 52.00 -18.00 36.00
38.00 -58.00 37.00 | 51.00 -17.00 37.00
34.00 -56.00 39.00 | 50.00 -16.00 40.00
37.00 -56.00 39.00 | 50.00 -14.00 40.00
32.00 -54.00 44.00 | 46.00 -13.00 42.00
33.00 -56.00 42.00 | 45.00 -13.00 42.00
32.00 -57.00 42.00 | 44.00 -14.00 41.00
32.00 -55.00 44.00 | 42.00 -12.00 43.00
31.00 -54.00 44.00 | 41.00 -10.00 43.00
27.00 -54.00 45.00 | 38.00 -9.00 43.00
30.00 -49.00 46.00 | 41.00 -6.00 42.00
27.00 -50.00 43.00 | 40.00 -8.00 40.00
27.00 -49.00 42.00 | 39.00 -8.00 40.00
26.00 -48.00 42.00 | 39.00 -6.00 40.00
26.00 -46.00 43.00 | 40.00 -6.00 40.00
24.00 -45.00 42.00 | 37.00 -5.00 39.00
21.00 -48.00 39.00 | 35.00 -9.00 37.00
19.00 -47.00 41.00 | 33.00 -11.00 39.00
20.00 -48.00 41.00 | 34.00 -12.00 37.00
22.00 -50.00 38.00 | 34.00 -13.00 33.00
23.00 -51.00 37.00 | 36.00 -17.00 32.00
23.00 -51.00 37.00 | 32.00 -20.00 31.00
20.00 -58.00 31.00 | 32.00 -23.00 30.00
22.00 -58.00 32.00 | 32.00 -24.00 28.00
23.00 -62.00 27.00 | 34.00 -27.00 25.00
23.00 -63.00 26.00 | 33.00 -28.00 24.00
22.00 -65.00 26.00 | 32.00 -29.00 26.00
23.00 -65.00 27.00 | 33.00 -31.00 27.00
19.00 -68.00 25.00 | 28.00 -32.00 28.00
17.00 -72.00 25.00 | 26.00 -34.00 28.00
15.00 -73.00 26.00 | 25.00 -36.00 27.00
16.00 -77.00 23.00 | 24.00 -36.00 27.00
19.00 -78.00 23.00 | 26.00 -37.00 25.00
20.00 -80.00 23.00 | 24.00 -39.00 25.00
20.00 -80.00 22.00 | 24.00 -39.00 27.00
15.00 -84.00 21.00 | 20.00 -40.00 27.00
16.00 -83.00 21.00 | 22.00 -38.00 28.00
15.00 -84.00 21.00 | 21.00 -39.00 26.00
15.00 -84.00 21.00 | 21.00 -39.00 28.00
