14.00 -98.00 22.00 | 32.00 -46.00 24.00
-4.00 -93.00 26.00 | 14.00 -44.00 28.00
-2.00 -93.00 28.00 | 17.00 -44.00 29.00
-2.00 -93.00 26.00 | 17.00 -44.00 26.00
0.00 -94.00 24.00 | 20.00 -45.00 25.00
3.00 -94.00 25.00 | 22.00 -44.00 23.00
3.00 -95.00 23.00 | 24.00 -44.00 23.00
8.00 -93.00 23.00 | 29.00 -44.00 22.00
8.00 -94.00 21.00 | 28.00 -45.00 21.00
11.00 -94.00 21.00 | 32.00 -44.00 19.00
12.00 -94.00 20.00 | 29.00 -46.00 17.00


