14.00 -98.00 22.00 | 32.00 -46.00 24.00
5.00 -93.00 37.00 | 25.00 -43.00 35.00
11.00 -93.00 33.00 | 23.00 -43.00 34.00
11.00 -94.00 29.00 | 31.00 -43.00 29.00
16.00 -95.00 27.00 | 30.00 -44.00 27.00
16.00 -94.00 26.00 | 35.00 -45.00 25.00
19.00 -96.00 23.00 | 34.00 -44.00 24.00
21.00 -96.00 21.00 | 36.00 -44.00 24.00
19.00 -96.00 22.00 | 37.00 -45.00 21.00
23.00 -97.00 20.00 | 39.00 -45.00 21.00
20.00 -97.00 19.00 | 37.00 -46.00 20.00
21.00 -98.00 19.00 | 36.00 -46.00 21.00
20.00 -97.00 20.00 | 37.00 -46.00 20.00


16.00 -92.00 21.00 | 34.00 -42.00 20.00
17.00 -91.00 23.00 | 31.00 -41.00 19.00
15.00 -92.00 21.00 | 34.00 -41.00 20.00
14.00 -90.00 23.00 | 32.00 -42.00 22.00
16.00 -90.00 25.00 | 33.00 -41.00 24.00
13.00 -90.00 24.00 | 30.00 -41.00 23.00
17.00 -90.00 21.00 | 34.00 -41.00 21.00
16.00 -91.00 21.00 | 35.00 -43.00 17.00
18.00 -92.00 19.00 | 35.00 -43.00 17.00
20.00 -92.00 16.00 | 36.00 -43.00 14.00
19.00 -92.00 17.00 | 35.00 -43.00 13.00
23.00 -93.00 13.00 | 38.00 -43.00 12.00
22.00 -93.00 10.00 | 39.00 -43.00 8.00
21.00 -95.00 10.00 | 41.00 -44.00 5.00
26.00 -95.00 5.00 | 40.00 -44.00 4.00
23.00 -95.00 5.00 | 42.00 -44.00 1.00
27.00 -96.00 1.00 | 41.00 -44.00 0.00
24.00 -96.00 1.00 | 44.00 -45.00 -4.00
29.00 -96.00 -4.00 | 44.00 -45.00 -9.00
28.00 -97.00 -9.00 | 46.00 -46.00 -11.00
29.00 -98.00 -11.00 | 44.00 -46.00 -17.00
30.00 -97.00 -15.00 | 44.00 -46.00 -19.00
29.00 -97.00 -17.00 | 44.00 -45.00 -22.00
31.00 -96.00 -20.00 | 44.00 -46.00 -23.00
29.00 -96.00 -21.00 | 45.00 -45.00 -30.00
30.00 -96.00 -26.00 | 45.00 -45.00 -30.00
28.00 -96.00 -33.00 | 43.00 -45.00 -38.00
27.00 -96.00 -32.00 | 41.00 -44.00 -40.00
26.00 -97.00 -38.00 | 40.00 -45.00 -44.00
23.00 -97.00 -39.00 | 38.00 -45.00 -43.00
22.00 -97.00 -41.00 | 37.00 -46.00 -47.00
18.00 -97.00 -44.00 | 32.00 -46.00 -52.00
16.00 -97.00 -47.00 | 31.00 -46.00 -53.00
16.00 -97.00 -51.00 | 28.00 -45.00 -59.00
14.00 -95.00 -53.00 | 26.00 -44.00 -60.00
12.00 -96.00 -56.00 | 23.00 -44.00 -63.00
8.00 -95.00 -57.00 | 20.00 -44.00 -63.00
5.00 -95.00 -63.00 | 15.00 -43.00 -69.00
0.00 -93.00 -64.00 | 11.00 -43.00 -68.00
-1.00 -94.00 -65.00 | 9.00 -43.00 -72.00
-4.00 -93.00 -66.00 | 8.00 -42.00 -70.00
-6.00 -93.00 -66.00 | 3.00 -43.00 -72.00
-9.00 -92.00 -68.00 | 2.00 -41.00 -73.00
-12.00 -91.00 -68.00 | -2.00 -41.00 -76.00
-15.00 -91.00 -70.00 | -8.00 -40.00 -76.00
-19.00 -90.00 -69.00 | -9.00 -41.00 -77.00
-19.00 -92.00 -68.00 | -11.00 -42.00 -74.00
-24.00 -90.00 -69.00 | -13.00 -41.00 -73.00
-24.00 -91.00 -68.00 | -17.00 -41.00 -73.00
-30.00 -90.00 -69.00 | -18.00 -42.00 -72.00
-33.00 -89.00 -67.00 | -23.00 -40.00 -70.00
-34.00 -90.00 -66.00 | -25.00 -41.00 -69.00
-38.00 -88.00 -67.00 | -30.00 -38.00 -70.00
-40.00 -88.00 -65.00 | -31.00 -39.00 -67.00
-44.00 -87.00 -65.00 | -36.00 -39.00 -67.00
-47.00 -87.00 -61.00 | -38.00 -40.00 -63.00
-53.00 -86.00 -59.00 | -44.00 -39.00 -61.00
-54.00 -85.00 -57.00 | -44.00 -38.00 -58.00
-57.00 -84.00 -56.00 | -49.00 -38.00 -56.00
-61.00 -85.00 -52.00 | -50.00 -38.00 -51.00
-59.00 -85.00 -52.00 | -51.00 -38.00 -51.00
-63.00 -83.00 -48.00 | -52.00 -38.00 -48.00
-64.00 -84.00 -46.00 | -52.00 -37.00 -46.00
-65.00 -84.00 -43.00 | -58.00 -37.00 -40.00
-68.00 -83.00 -40.00 | -57.00 -37.00 -39.00
-70.00 -83.00 -37.00 | -60.00 -36.00 -35.00
-73.00 -82.00 -34.00 | -59.00 -38.00 -34.00
-70.00 -83.00 -33.00 | -60.00 -37.00 -29.00
-75.00 -80.00 -28.00 | -61.00 -37.00 -27.00
-74.00 -81.00 -26.00 | -64.00 -36.00 -21.00
-77.00 -79.00 -21.00 | -64.00 -35.00 -19.00
-77.00 -79.00 -15.00 | -64.00 -34.00 -14.00
-77.00 -79.00 -15.00 | -64.00 -35.00 -8.00
-77.00 -79.00 -8.00 | -60.00 -36.00 -5.00
-74.00 -78.00 -6.00 | -60.00 -35.00 -1.00
-73.00 -80.00 0.00 | -59.00 -36.00 1.00
-71.00 -80.00 0.00 | -57.00 -34.00 8.00
-74.00 -78.00 4.00 | -58.00 -35.00 7.00
-73.00 -78.00 7.00 | -58.00 -33.00 12.00
-71.00 -79.00 6.00 | -55.00 -35.00 11.00
-70.00 -78.00 12.00 | -55.00 -34.00 15.00
-66.00 -79.00 15.00 | -52.00 -35.00 16.00
-66.00 -78.00 19.00 | -50.00 -35.00 21.00
-63.00 -79.00 20.00 | -47.00 -36.00 21.00
-62.00 -80.00 19.00 | -45.00 -36.00 25.00
-59.00 -81.00 23.00 | -41.00 -35.00 27.00
-58.00 -79.00 26.00 | -40.00 -35.00 29.00
-53.00 -79.00 32.00 | -36.00 -35.00 32.00
-50.00 -79.00 34.00 | -34.00 -35.00 34.00
-48.00 -79.00 35.00 | -30.00 -34.00 38.00
-45.00 -80.00 36.00 | -30.00 -35.00 37.00
-43.00 -80.00 36.00 | -24.00 -35.00 41.00
-40.00 -79.00 39.00 | -24.00 -36.00 39.00
-39.00 -81.00 37.00 | -21.00 -35.00 40.00
-37.00 -80.00 40.00 | -20.00 -35.00 40.00
-36.00 -81.00 38.00 | -18.00 -35.00 42.00
-34.00 -82.00 39.00 | -17.00 -36.00 40.00
-31.00 -82.00 38.00 | -13.00 -35.00 42.00
-29.00 -82.00 39.00 | -11.00 -36.00 42.00
-25.00 -81.00 42.00 | -8.00 -36.00 42.00
-23.00 -82.00 41.00 | -6.00 -36.00 41.00
-21.00 -82.00 42.00 | -5.00 -37.00 42.00
-18.00 -83.00 41.00 | 0.00 -36.00 42.00
-18.00 -84.00 40.00 | -1.00 -36.00 41.00
-15.00 -83.00 41.00 | 5.00 -36.00 41.00
-14.00 -84.00 39.00 | 4.00 -37.00 39.00
-10.00 -85.00 41.00 | 8.00 -37.00 41.00
-10.00 -85.00 39.00 | 8.00 -38.00 38.00
-6.00 -86.00 38.00 | 12.00 -38.00 39.00
-2.00 -86.00 37.00 | 11.00 -38.00 37.00
-2.00 -87.00 37.00 | 17.00 -38.00 36.00
3.00 -87.00 36.00 | 18.00 -39.00 34.00
2.00 -87.00 33.00 | 19.00 -39.00 33.00
6.00 -88.00 33.00 | 21.00 -39.00 31.00
6.00 -88.00 32.00 | 23.00 -40.00 31.00
9.00 -89.00 30.00 | 28.00 -40.00 29.00
9.00 -88.00 28.00 | 27.00 -39.00 28.00
10.00 -89.00 29.00 | 31.00 -39.00 26.00
14.00 -90.00 28.00 | 28.00 -40.00 26.00
12.00 -90.00 28.00 | 32.00 -39.00 25.00


7.00 -93.00 23.00 | 25.00 -44.00 22.00
7.00 -91.00 24.00 | 22.00 -44.00 24.00
9.00 -92.00 24.00 | 25.00 -44.00 22.00
13.00 -92.00 22.00 | 26.00 -43.00 20.00
11.00 -91.00 23.00 | 27.00 -43.00 22.00
7.00 -93.00 20.00 | 19.00 -45.00 19.00
5.00 -94.00 19.00 | 21.00 -45.00 19.00
10.00 -93.00 20.00 | 25.00 -44.00 19.00
12.00 -92.00 19.00 | 29.00 -44.00 19.00
15.00 -92.00 19.00 | 29.00 -43.00 18.00
17.00 -92.00 17.00 | 33.00 -43.00 16.00
17.00 -95.00 14.00 | 33.00 -45.00 10.00
19.00 -95.00 10.00 | 33.00 -46.00 10.00
20.00 -95.00 9.00 | 36.00 -47.00 6.00
20.00 -96.00 7.00 | 36.00 -46.00 3.00
23.00 -95.00 4.00 | 37.00 -47.00 2.00
21.00 -96.00 3.00 | 35.00 -46.00 -1.00
24.00 -96.00 -1.00 | 38.00 -47.00 -4.00
23.00 -96.00 -2.00 | 38.00 -46.00 -5.00
25.00 -96.00 -4.00 | 39.00 -45.00 -7.00
24.00 -97.00 -5.00 | 38.00 -47.00 -9.00
27.00 -97.00 -11.00 | 42.00 -47.00 -14.00
30.00 -96.00 -16.00 | 44.00 -46.00 -21.00
29.00 -96.00 -16.00 | 45.00 -45.00 -21.00
30.00 -95.00 -21.00 | 45.00 -46.00 -27.00
27.00 -97.00 -24.00 | 42.00 -46.00 -29.00
25.00 -97.00 -28.00 | 41.00 -47.00 -36.00
25.00 -97.00 -31.00 | 39.00 -46.00 -35.00
24.00 -97.00 -33.00 | 39.00 -46.00 -42.00
22.00 -97.00 -40.00 | 35.00 -46.00 -44.00
21.00 -98.00 -40.00 | 35.00 -45.00 -48.00
20.00 -96.00 -47.00 | 32.00 -45.00 -50.00
19.00 -97.00 -45.00 | 30.00 -45.00 -53.00
16.00 -97.00 -51.00 | 27.00 -45.00 -55.00
13.00 -95.00 -56.00 | 27.00 -45.00 -60.00
11.00 -95.00 -55.00 | 22.00 -43.00 -65.00
7.00 -95.00 -61.00 | 20.00 -43.00 -65.00
5.00 -94.00 -60.00 | 16.00 -43.00 -69.00
2.00 -94.00 -62.00 | 13.00 -43.00 -69.00
-1.00 -94.00 -63.00 | 8.00 -42.00 -72.00
-3.00 -95.00 -64.00 | 8.00 -43.00 -71.00
