-46.00 -78.00 -17.00 | -47.00 -25.00 -19.00
-46.00 -76.00 -16.00 | -47.00 -24.00 -16.00
-45.00 -76.00 -15.00 | -48.00 -25.00 -14.00
-43.00 -77.00 -13.00 | -48.00 -24.00 -11.00
-45.00 -76.00 -12.00 | -49.00 -24.00 -9.00
-42.00 -76.00 -11.00 | -47.00 -24.00 -5.00
-43.00 -75.00 -11.00 | -48.00 -24.00 -5.00
-43.00 -75.00 -10.00 | -48.00 -23.00 -2.00
-41.00 -75.00 -10.00 | -47.00 -24.00 0.00
-41.00 -74.00 -10.00 | -47.00 -23.00 1.00
-42.00 -75.00 -8.00 | -48.00 -23.00 3.00
-40.00 -75.00 -8.00 | -45.00 -23.00 5.00
-42.00 -74.00 -8.00 | -45.00 -23.00 7.00
-42.00 -74.00 -8.00 | -44.00 -21.00 9.00


-83.00 -95.00 17.00 | -72.00 -46.00 44.00
-79.00 -97.00 19.00 | -69.00 -47.00 45.00
-76.00 -99.00 19.00 | -63.00 -50.00 45.00
-74.00 -100.00 20.00 | -61.00 -50.00 46.00
-73.00 -98.00 25.00 | -60.00 -49.00 48.00
-71.00 -99.00 27.00 | -54.00 -50.00 52.00
-65.00 -100.00 30.00 | -46.00 -52.00 55.00
-59.00 -101.00 34.00 | -45.00 -52.00 56.00
-59.00 -102.00 35.00 | -39.00 -53.00 59.00
-56.00 -103.00 37.00 | -36.00 -54.00 60.00
-54.00 -103.00 37.00 | -35.00 -54.00 60.00
-52.00 -102.00 40.00 | -31.00 -53.00 63.00
-49.00 -102.00 43.00 | -26.00 -54.00 63.00
-44.00 -103.00 44.00 | -23.00 -55.00 64.00
-42.00 -103.00 45.00 | -18.00 -55.00 65.00
-37.00 -105.00 47.00 | -12.00 -56.00 64.00
-32.00 -106.00 49.00 | -10.00 -56.00 64.00
-30.00 -105.00 49.00 | -3.00 -57.00 64.00
-24.00 -107.00 50.00 | 1.00 -58.00 63.00
-19.00 -108.00 50.00 | 4.00 -58.00 64.00
-17.00 -109.00 49.00 | 7.00 -59.00 63.00
-14.00 -108.00 51.00 | 10.00 -59.00 62.00
-8.00 -109.00 51.00 | 12.00 -59.00 62.00
-7.00 -108.00 50.00 | 16.00 -59.00 60.00
-2.00 -109.00 50.00 | 20.00 -60.00 60.00
4.00 -110.00 49.00 | 25.00 -62.00 56.00
7.00 -110.00 48.00 | 28.00 -61.00 55.00
12.00 -111.00 45.00 | 31.00 -62.00 51.00
17.00 -112.00 43.00 | 35.00 -63.00 48.00
20.00 -113.00 41.00 | 37.00 -63.00 47.00
24.00 -113.00 38.00 | 40.00 -63.00 44.00
27.00 -112.00 36.00 | 42.00 -63.00 41.00
29.00 -113.00 36.00 | 43.00 -63.00 39.00
32.00 -113.00 33.00 | 46.00 -63.00 37.00
35.00 -113.00 29.00 | 48.00 -65.00 34.00
37.00 -114.00 28.00 | 48.00 -65.00 32.00
39.00 -114.00 24.00 | 50.00 -66.00 28.00
41.00 -115.00 22.00 | 52.00 -65.00 26.00
43.00 -114.00 21.00 | 53.00 -65.00 25.00
47.00 -114.00 17.00 | 55.00 -65.00 21.00
48.00 -114.00 13.00 | 56.00 -65.00 18.00
49.00 -114.00 10.00 | 56.00 -66.00 15.00
51.00 -116.00 2.00 | 58.00 -66.00 8.00
51.00 -116.00 -4.00 | 58.00 -67.00 2.00
52.00 -115.00 -7.00 | 58.00 -66.00 -1.00
54.00 -116.00 -10.00 | 59.00 -66.00 -4.00
54.00 -116.00 -16.00 | 59.00 -66.00 -9.00
54.00 -116.00 -19.00 | 59.00 -67.00 -12.00
54.00 -115.00 -24.00 | 58.00 -66.00 -16.00
54.00 -117.00 -23.00 | 57.00 -66.00 -18.00
53.00 -116.00 -28.00 | 58.00 -66.00 -22.00
53.00 -117.00 -33.00 | 58.00 -66.00 -25.00
51.00 -117.00 -38.00 | 56.00 -66.00 -29.00
50.00 -118.00 -41.00 | 54.00 -66.00 -34.00
49.00 -117.00 -46.00 | 54.00 -66.00 -37.00
46.00 -117.00 -50.00 | 52.00 -66.00 -40.00
46.00 -117.00 -52.00 | 52.00 -67.00 -43.00
46.00 -116.00 -55.00 | 52.00 -65.00 -45.00
44.00 -115.00 -57.00 | 50.00 -65.00 -49.00
42.00 -115.00 -61.00 | 49.00 -65.00 -52.00
41.00 -115.00 -63.00 | 49.00 -65.00 -53.00
39.00 -115.00 -64.00 | 48.00 -65.00 -53.00
40.00 -115.00 -65.00 | 47.00 -65.00 -57.00
39.00 -114.00 -69.00 | 47.00 -64.00 -58.00
36.00 -113.00 -72.00 | 44.00 -63.00 -63.00
34.00 -112.00 -76.00 | 41.00 -63.00 -67.00
30.00 -113.00 -80.00 | 40.00 -64.00 -68.00
30.00 -112.00 -80.00 | 39.00 -63.00 -70.00
28.00 -113.00 -81.00 | 37.00 -62.00 -73.00
23.00 -112.00 -85.00 | 35.00 -63.00 -74.00
21.00 -113.00 -85.00 | 30.00 -63.00 -75.00
15.00 -113.00 -86.00 | 26.00 -65.00 -76.00
8.00 -113.00 -89.00 | 23.00 -65.00 -79.00
5.00 -113.00 -91.00 | 17.00 -64.00 -83.00
1.00 -111.00 -94.00 | 13.00 -63.00 -86.00
-3.00 -111.00 -96.00 | 11.00 -63.00 -88.00
-7.00 -111.00 -96.00 | 4.00 -63.00 -89.00
-15.00 -110.00 -97.00 | -4.00 -62.00 -92.00
-20.00 -112.00 -97.00 | -7.00 -63.00 -90.00
-23.00 -111.00 -96.00 | -13.00 -63.00 -90.00
-30.00 -112.00 -94.00 | -19.00 -63.00 -88.00
-36.00 -111.00 -93.00 | -23.00 -63.00 -88.00
-37.00 -111.00 -94.00 | -29.00 -62.00 -88.00
-44.00 -111.00 -90.00 | -37.00 -62.00 -84.00
-49.00 -111.00 -87.00 | -39.00 -62.00 -82.00
-51.00 -112.00 -86.00 | -45.00 -61.00 -80.00
-54.00 -111.00 -85.00 | -49.00 -59.00 -80.00
-58.00 -111.00 -83.00 | -53.00 -59.00 -77.00
-60.00 -110.00 -81.00 | -57.00 -59.00 -75.00
-66.00 -110.00 -76.00 | -63.00 -57.00 -70.00
-69.00 -110.00 -72.00 | -66.00 -57.00 -67.00
-69.00 -110.00 -71.00 | -68.00 -56.00 -64.00
-72.00 -110.00 -67.00 | -71.00 -58.00 -61.00
-74.00 -111.00 -65.00 | -72.00 -58.00 -57.00
-73.00 -111.00 -63.00 | -72.00 -57.00 -56.00
-78.00 -108.00 -61.00 | -78.00 -54.00 -53.00
-79.00 -110.00 -57.00 | -79.00 -54.00 -47.00
-79.00 -110.00 -53.00 | -79.00 -55.00 -43.00
-80.00 -111.00 -47.00 | -79.00 -56.00 -36.00
-82.00 -108.00 -44.00 | -83.00 -54.00 -33.00
-83.00 -108.00 -42.00 | -84.00 -53.00 -30.00
-81.00 -110.00 -38.00 | -83.00 -55.00 -25.00
-80.00 -109.00 -34.00 | -81.00 -56.00 -20.00
-80.00 -109.00 -32.00 | -81.00 -56.00 -17.00
-79.00 -110.00 -29.00 | -80.00 -56.00 -12.00
-83.00 -107.00 -24.00 | -83.00 -53.00 -8.00
-81.00 -108.00 -23.00 | -81.00 -54.00 -5.00
-82.00 -108.00 -17.00 | -80.00 -53.00 1.00
-81.00 -107.00 -14.00 | -80.00 -53.00 7.00
-80.00 -109.00 -12.00 | -78.00 -54.00 6.00
-80.00 -108.00 -11.00 | -77.00 -54.00 9.00
-84.00 -105.00 -7.00 | -79.00 -52.00 12.00
-83.00 -105.00 -6.00 | -79.00 -51.00 15.00
-80.00 -106.00 0.00 | -74.00 -52.00 21.00
-78.00 -106.00 4.00 | -72.00 -53.00 25.00
-78.00 -106.00 5.00 | -71.00 -53.00 26.00
-77.00 -106.00 6.00 | -68.00 -52.00 27.00
-78.00 -105.00 6.00 | -69.00 -53.00 30.00
-78.00 -105.00 8.00 | -69.00 -53.00 30.00
-76.00 -104.00 12.00 | -67.00 -52.00 34.00


-75.00 -80.00 8.00 | -65.00 -36.00 27.00
-76.00 -81.00 8.00 | -66.00 -35.00 26.00
-75.00 -81.00 6.00 | -67.00 -36.00 26.00
-77.00 -81.00 4.00 | -66.00 -36.00 25.00
-77.00 -79.00 5.00 | -68.00 -35.00 25.00
-77.00 -79.00 8.00 | -68.00 -34.00 27.00
-77.00 -78.00 10.00 | -65.00 -33.00 31.00
-78.00 -76.00 12.00 | -66.00 -33.00 33.00
-76.00 -77.00 13.00 | -64.00 -33.00 34.00
-74.00 -78.00 17.00 | -60.00 -34.00 37.00
-72.00 -78.00 19.00 | -55.00 -34.00 41.00
-68.00 -80.00 22.00 | -52.00 -36.00 43.00
-68.00 -79.00 23.00 | -48.00 -35.00 45.00
-65.00 -80.00 30.00 | -44.00 -35.00 48.00
-61.00 -80.00 31.00 | -38.00 -36.00 50.00
-59.00 -80.00 34.00 | -37.00 -36.00 51.00
-54.00 -81.00 36.00 | -32.00 -36.00 53.00
-51.00 -83.00 38.00 | -25.00 -38.00 53.00
-45.00 -85.00 41.00 | -23.00 -38.00 53.00
-40.00 -86.00 41.00 | -18.00 -40.00 53.00
-39.00 -86.00 42.00 | -13.00 -41.00 53.00
-35.00 -87.00 43.00 | -12.00 -41.00 54.00
-32.00 -88.00 45.00 | -6.00 -42.00 53.00
-30.00 -87.00 44.00 | -5.00 -41.00 53.00
-26.00 -90.00 45.00 | -3.00 -41.00 52.00
-19.00 -91.00 45.00 | 2.00 -43.00 51.00
-16.00 -91.00 45.00 | 7.00 -43.00 49.00
-13.00 -92.00 44.00 | 10.00 -43.00 49.00
-11.00 -92.00 45.00 | 10.00 -44.00 48.00
-9.00 -92.00 45.00 | 12.00 -44.00 47.00
-4.00 -94.00 44.00 | 17.00 -45.00 45.00
2.00 -95.00 41.00 | 19.00 -46.00 44.00
6.00 -95.00 40.00 | 24.00 -46.00 39.00
11.00 -96.00 38.00 | 28.00 -47.00 37.00
16.00 -99.00 34.00 | 30.00 -47.00 35.00
19.00 -97.00 32.00 | 32.00 -47.00 31.00
20.00 -99.00 30.00 | 34.00 -48.00 28.00
24.00 -100.00 27.00 | 36.00 -47.00 25.00
28.00 -100.00 25.00 | 37.00 -48.00 24.00
29.00 -99.00 23.00 | 40.00 -47.00 21.00
32.00 -100.00 19.00 | 41.00 -48.00 19.00
33.00 -99.00 18.00 | 42.00 -48.00 16.00
36.00 -101.00 16.00 | 44.00 -48.00 13.00
37.00 -101.00 13.00 | 45.00 -47.00 13.00
37.00 -100.00 13.00 | 44.00 -47.00 11.00
39.00 -101.00 10.00 | 46.00 -47.00 10.00
40.00 -101.00 7.00 | 47.00 -47.00 6.00
42.00 -101.00 5.00 | 48.00 -47.00 5.00
43.00 -101.00 0.00 | 50.00 -46.00 1.00
