-67.00 -99.00 -50.00 | -73.00 -55.00 -41.00
-67.00 -99.00 -49.00 | -74.00 -54.00 -41.00
-67.00 -100.00 -49.00 | -72.00 -55.00 -41.00
-68.00 -100.00 -50.00 | -74.00 -54.00 -40.00
-70.00 -100.00 -49.00 | -74.00 -55.00 -38.00
-69.00 -102.00 -49.00 | -74.00 -56.00 -39.00
-66.00 -103.00 -47.00 | -71.00 -57.00 -37.00
-65.00 -103.00 -47.00 | -68.00 -59.00 -35.00
-63.00 -105.00 -45.00 | -68.00 -59.00 -35.00
-63.00 -105.00 -45.00 | -68.00 -60.00 -36.00
-62.00 -106.00 -45.00 | -68.00 -60.00 -35.00
-64.00 -105.00 -44.00 | -69.00 -61.00 -34.00
-65.00 -106.00 -44.00 | -71.00 -60.00 -33.00
-67.00 -106.00 -42.00 | -71.00 -59.00 -33.00
-69.00 -106.00 -42.00 | -73.00 -59.00 -30.00
-69.00 -106.00 -41.00 | -74.00 -58.00 -29.00
-73.00 -104.00 -37.00 | -76.00 -58.00 -27.00
-75.00 -104.00 -35.00 | -76.00 -56.00 -24.00
-75.00 -103.00 -35.00 | -77.00 -57.00 -23.00
-76.00 -103.00 -29.00 | -77.00 -57.00 -20.00
-78.00 -104.00 -29.00 | -79.00 -55.00 -17.00
-78.00 -103.00 -28.00 | -77.00 -56.00 -17.00
-79.00 -104.00 -26.00 | -77.00 -56.00 -16.00
-78.00 -104.00 -27.00 | -75.00 -56.00 -16.00
-77.00 -106.00 -25.00 | -75.00 -57.00 -16.00
-76.00 -106.00 -25.00 | -73.00 -57.00 -15.00
-74.00 -106.00 -26.00 | -73.00 -57.00 -15.00
-72.00 -108.00 -27.00 | -70.00 -59.00 -18.00
-73.00 -106.00 -27.00 | -71.00 -57.00 -18.00
-73.00 -106.00 -27.00 | -70.00 -58.00 -19.00
-74.00 -106.00 -27.00 | -71.00 -57.00 -19.00
-73.00 -106.00 -27.00 | -71.00 -58.00 -20.00
-71.00 -107.00 -26.00 | -70.00 -58.00 -19.00
-72.00 -106.00 -25.00 | -70.00 -58.00 -19.00
-71.00 -104.00 -22.00 | -70.00 -58.00 -17.00
-73.00 -103.00 -21.00 | -71.00 -55.00 -15.00
-74.00 -102.00 -18.00 | -70.00 -55.00 -15.00
-72.00 -101.00 -17.00 | -70.00 -56.00 -13.00
-75.00 -102.00 -19.00 | -72.00 -55.00 -14.00
-74.00 -102.00 -18.00 | -72.00 -54.00 -15.00
